Frequency [Hz],PSD [microns/s^2]^2/Hz
0.1,1.29430732925228e-20
0.100184413489081,1.29903376382316e-20
0.100369167061512,1.30377726846005e-20
0.100554261344451,1.30853790342748e-20
0.100739696966216,1.3133157291926e-20
0.100925474556281,1.31811080642581e-20
0.101111594745282,1.32292319600132e-20
0.101298058165018,1.32775295899782e-20
0.101484865448451,1.33260015669902e-20
0.101672017229714,1.33746485059431e-20
0.101859514144106,1.3423471023794e-20
0.1020473568281,1.34724697395684e-20
0.102235545919342,1.35216452743674e-20
0.102424082056653,1.35709982513729e-20
0.102612965880033,1.36205292958548e-20
0.102802198030662,1.36702390351762e-20
0.102991779150902,1.37201280988004e-20
0.103181709884301,1.37701971182965e-20
0.103371990875592,1.38204467273461e-20
0.103562622770698,1.38708775617492e-20
0.103753606216734,1.39214902594308e-20
0.103944941862005,1.39722854604467e-20
0.104136630356016,1.40232638069902e-20
0.104328672349467,1.40744259433983e-20
0.104521068494259,1.41257725161576e-20
0.104713819443494,1.41773041739114e-20
0.10490692585148,1.42290215674652e-20
0.10510038837373,1.42809253497936e-20
0.105294207666968,1.43330161760463e-20
0.105488384389127,1.43852947035548e-20
0.105682919199354,1.44377615918386e-20
0.105877812758012,1.44904175026112e-20
0.106073065726682,1.45432630997873e-20
0.106268678768164,1.45962990494885e-20
0.106464652546481,1.46495260200503e-20
0.10666098772688,1.4702944682028e-20
0.106857684975835,1.47565557082033e-20
0.10705474496105,1.4810359773591e-20
0.10725216835146,1.48643575554453e-20
0.107449955817232,1.49185497332663e-20
0.10764810802977,1.49729369888061e-20
0.107846625661718,1.50275200060764e-20
0.108045509386957,1.50822994713534e-20
0.108244759880613,1.51372760731859e-20
0.108444377819056,1.51924505024009e-20
0.108644363879904,1.52478234521103e-20
0.108844718742025,1.53033956177177e-20
0.109045443085538,1.53591676969246e-20
0.109246537591816,1.54151403897376e-20
0.109448002943489,1.54713143984741e-20
0.109649839824447,1.55276904277698e-20
0.109852048919839,1.55842691845847e-20
0.110054630916079,1.56410513782099e-20
0.110257586500846,1.56980377202745e-20
0.110460916363089,1.57552289247517e-20
0.110664621193025,1.58126257079662e-20
0.110868701682146,1.58702287885999e-20
0.111073158523217,1.59280388876998e-20
0.111277992410282,1.59860567286833e-20
0.111483204038665,1.60442830373461e-20
0.111688794104972,1.61027185418683e-20
0.111894763307094,1.61613639728213e-20
0.112101112344207,1.62202200631743e-20
0.11230784191678,1.62792875483015e-20
0.11251495272657,1.63385671659884e-20
0.112722445476631,1.63980596564388e-20
0.112930320871312,1.64577657622815e-20
0.113138579616261,1.65176862285772e-20
0.113347222418428,1.65778218028251e-20
0.113556249986067,1.66381732349698e-20
0.113765663028736,1.66987412774082e-20
0.113975462257303,1.67595266849962e-20
0.114185648383948,1.68205302150557e-20
0.114396222122163,1.6881752627381e-20
0.114607184186755,1.69431946842464e-20
0.114818535293851,1.70048571504124e-20
0.115030276160899,1.70667407931328e-20
0.115242407506667,1.71288463821618e-20
0.115454930051251,1.71911746897605e-20
0.115667844516074,1.72537264907041e-20
0.115881151623891,1.73165025622886e-20
0.116094852098788,1.73795036843381e-20
0.116308946666187,1.74427306392111e-20
0.116523436052848,1.75061842118082e-20
0.11673832098687,1.75698651895782e-20
0.116953602197696,1.7633774362526e-20
0.117169280416115,1.76979125232186e-20
0.117385356374262,1.7762280466793e-20
0.117601830805622,1.78268789909624e-20
0.117818704445033,1.78917088960236e-20
0.118035978028691,1.79567709848641e-20
0.118253652294144,1.80220660629688e-20
0.118471727980306,1.80875949384272e-20
0.118690205827449,1.81533584219404e-20
0.118909086577213,1.8219357326828e-20
0.119128370972604,1.82855924690356e-20
0.119348059758,1.8352064667141e-20
0.11956815367915,1.84187747423623e-20
0.11978865348318,1.84857235185642e-20
0.120009559918591,1.85529118222653e-20
0.120230873735268,1.86203404826453e-20
0.120452595684476,1.86880103315519e-20
0.120674726518866,1.87559222035082e-20
0.120897266992479,1.88240769357194e-20
0.121120217860743,1.88924753680802e-20
0.121343579880483,1.89611183431818e-20
0.121567353809916,1.90300067063191e-20
0.121791540408661,1.90991413054979e-20
0.122016140437734,1.91685229914419e-20
0.122241154659557,1.92381526175997e-20
0.122466583837958,1.93080310401524e-20
0.122692428738172,1.93781591180204e-20
0.122918690126846,1.94485377128708e-20
0.123145368772042,1.95191676891244e-20
0.123372465443236,1.95900499139629e-20
0.123599980911325,1.9661185257336e-20
0.123827915948627,1.97325745919693e-20
0.124056271328885,1.98042187933704e-20
0.124285047827266,1.98761187398366e-20
0.12451424622037,1.99482753124626e-20
0.124743867286228,2.00206893951469e-20
0.124973911804306,2.00933618745996e-20
0.125204380555505,2.01662936403494e-20
0.12543527432217,2.02394855847508e-20
0.125666593888086,2.03129386029914e-20
0.125898340038484,2.03866535930993e-20
0.126130513560044,2.04606314559501e-20
0.126363115240896,2.05348730952743e-20
0.126596145870623,2.06093794176645e-20
0.126829606240265,2.06841513325827e-20
0.127063497142321,2.07591897523676e-20
0.127297819370749,2.08344955922419e-20
0.127532573720975,2.09100697703193e-20
0.127767760989889,2.09859132076124e-20
0.128003381975851,2.10620268280392e-20
0.128239437478694,2.11384115584309e-20
0.128475928299727,2.12150683285393e-20
0.128712855241734,2.12919980710436e-20
0.128950219108981,2.13692017215582e-20
0.129188020707217,2.14466802186396e-20
0.129426260843678,2.15244345037942e-20
0.129664940327087,2.16024655214849e-20
0.129904059967659,2.16807742191393e-20
0.130143620577104,2.17593615471563e-20
0.130383622968626,2.18382284589136e-20
0.130624067956933,2.19173759107753e-20
0.130864956358232,2.1996804862099e-20
0.131106288990237,2.20765162752431e-20
0.131348066672168,2.21565111155742e-20
0.131590290224759,2.22367903514745e-20
0.131832960470254,2.23173549543491e-20
0.132076078232416,2.2398205898633e-20
0.132319644336526,2.24793441617993e-20
0.132563659609387,2.25607707243654e-20
0.132808124879326,2.26424865699013e-20
0.133053040976199,2.27244926850364e-20
0.133298408731392,2.28067900594673e-20
0.133544228977823,2.28893796859643e-20
0.133790502549947,2.29722625603799e-20
0.134037230283759,2.30554396816553e-20
