Frequency [Hz],CPS microns^2
0.1,0
0.100184413489081,1.19890411461187e-24
0.100369167061512,3.60330923249469e-24
0.100554261344451,6.02094424981025e-24
0.100739696966216,8.45188160695991e-24
0.100925474556281,1.08961941377398e-23
0.101111594745282,1.3353955071447e-23
0.101298058165018,1.58252380349978e-23
0.101484865448451,1.83101170550563e-23
0.101672017229714,2.08086665601741e-23
0.101859514144106,2.33209613829411e-23
0.1020473568281,2.58470767621484e-23
0.102235545919342,2.83870883449612e-23
0.102424082056653,3.09410721891038e-23
0.102612965880033,3.35091047650562e-23
0.102802198030662,3.60912629582618e-23
0.102991779150902,3.86876240713462e-23
0.103181709884301,4.12982658263486e-23
0.103371990875592,4.39232663669638e-23
0.103562622770698,4.65627042607963e-23
0.103753606216734,4.9216658501627e-23
0.103944941862005,5.18852085116901e-23
0.104136630356016,5.45684341439628e-23
0.104328672349467,5.72664156844668e-23
0.104521068494259,5.99792338545822e-23
0.104713819443494,6.27069698133721e-23
0.10490692585148,6.54497051599212e-23
0.10510038837373,6.82075219356848e-23
0.105294207666968,7.09805026268512e-23
0.105488384389127,7.37687301667163e-23
0.105682919199354,7.65722879380689e-23
0.105877812758012,7.93912597755912e-23
0.106073065726682,8.22257299682697e-23
0.106268678768164,8.50757832618188e-23
0.106464652546481,8.79415048611183e-23
0.10666098772688,9.08229804326615e-23
0.106857684975835,9.3720296107018e-23
0.10705474496105,9.66335384813085e-23
0.10725216835146,9.95627946216919e-23
0.107449955817232,1.02508152065866e-22
0.10764810802977,1.0546969882558e-22
0.107846625661718,1.08447523389164e-22
0.108045509386957,1.11441714724065e-22
0.108244759880613,1.144523622794e-22
0.108444377819056,1.17479555988526e-22
0.108644363879904,1.20523386271613e-22
0.108844718742025,1.23583944038242e-22
0.109045443085538,1.26661320690008e-22
0.109246537591816,1.29755608123142e-22
0.109448002943489,1.32866898731139e-22
0.109649839824447,1.35995285407412e-22
0.109852048919839,1.39140861547945e-22
0.110054630916079,1.42303721053974e-22
0.110257586500846,1.45483958334668e-22
0.110460916363089,1.48681668309836e-22
0.110664621193025,1.51896946412642e-22
0.110868701682146,1.55129888592332e-22
0.111073158523217,1.58380591316982e-22
0.111277992410282,1.61649151576251e-22
0.111483204038665,1.64935666884157e-22
0.111688794104972,1.68240235281864e-22
0.111894763307094,1.71562955340481e-22
0.112101112344207,1.74903926163878e-22
0.11230784191678,1.78263247391514e-22
0.11251495272657,1.81641019201286e-22
0.112722445476631,1.85037342312384e-22
0.112930320871312,1.88452317988166e-22
0.113138579616261,1.9188604803905e-22
0.113347222418428,1.9533863482541e-22
0.113556249986067,1.98810181260503e-22
0.113765663028736,2.02300790813395e-22
0.113975462257303,2.05810567511916e-22
0.114185648383948,2.09339615945618e-22
0.114396222122163,2.12888041268759e-22
0.114607184186755,2.16455949203294e-22
0.114818535293851,2.20043446041885e-22
0.115030276160899,2.23650638650926e-22
0.115242407506667,2.27277634473587e-22
0.115454930051251,2.30924541532865e-22
0.115667844516074,2.34591468434658e-22
0.115881151623891,2.38278524370855e-22
0.116094852098788,2.41985819122435e-22
0.116308946666187,2.45713463062592e-22
0.116523436052848,2.49461567159865e-22
0.11673832098687,2.5323024298129e-22
0.116953602197696,2.57019602695574e-22
0.117169280416115,2.60829759076269e-22
0.117385356374262,2.64660825504981e-22
0.117601830805622,2.6851291597458e-22
0.117818704445033,2.72386145092437e-22
0.118035978028691,2.7628062808367e-22
0.118253652294144,2.80196480794414e-22
0.118471727980306,2.84133819695101e-22
0.118690205827449,2.8809276188376e-22
0.118909086577213,2.92073425089333e-22
0.119128370972604,2.9607592767501e-22
0.119348059758,3.00100388641578e-22
0.11956815367915,3.04146927630787e-22
0.11978865348318,3.08215664928739e-22
0.120009559918591,3.12306721469284e-22
0.120230873735268,3.16420218837443e-22
0.120452595684476,3.20556279272845e-22
0.120674726518866,3.24715025673179e-22
0.120897266992479,3.28896581597666e-22
0.121120217860743,3.3310107127055e-22
0.121343579880483,3.37328619584602e-22
0.121567353809916,3.41579352104649e-22
0.121791540408661,3.45853395071114e-22
0.122016140437734,3.50150875403577e-22
0.122241154659557,3.54471920704356e-22
0.122466583837958,3.58816659262103e-22
0.122692428738172,3.63185220055419e-22
0.122918690126846,3.67577732756486e-22
0.123145368772042,3.71994327734725e-22
0.123372465443236,3.7643513606046e-22
0.123599980911325,3.80900289508613e-22
0.123827915948627,3.85389920562409e-22
0.124056271328885,3.89904162417101e-22
0.124285047827266,3.94443148983723e-22
0.12451424622037,3.99007014892846e-22
0.124743867286228,4.03595895498368e-22
0.124973911804306,4.08209926881315e-22
0.125204380555505,4.12849245853661e-22
0.12543527432217,4.17513989962174e-22
0.125666593888086,4.22204297492272e-22
0.125898340038484,4.26920307471909e-22
0.126130513560044,4.31662159675469e-22
0.126363115240896,4.36429994627692e-22
0.126596145870623,4.41223953607609e-22
0.126829606240265,4.46044178652501e-22
0.127063497142321,4.50890812561883e-22
0.127297819370749,4.55763998901499e-22
0.127532573720975,4.60663882007345e-22
0.127767760989889,4.65590606989707e-22
0.128003381975851,4.7054431973722e-22
0.128239437478694,4.75525166920952e-22
0.128475928299727,4.80533295998504e-22
0.128712855241734,4.85568855218129e-22
0.128950219108981,4.9063199362288e-22
0.129188020707217,4.95722861054769e-22
0.129426260843678,5.00841608158953e-22
0.129664940327087,5.05988386387941e-22
0.129904059967659,5.11163348005816e-22
0.130143620577104,5.16366646092487e-22
0.130383622968626,5.21598434547957e-22
0.130624067956933,5.26858868096615e-22
0.130864956358232,5.32148102291543e-22
0.131106288990237,5.37466293518855e-22
0.131348066672168,5.42813599002049e-22
0.131590290224759,5.48190176806385e-22
0.131832960470254,5.53596185843286e-22
0.132076078232416,5.59031785874758e-22
0.132319644336526,5.64497137517829e-22
0.132563659609387,5.69992402249023e-22
0.132808124879326,5.75517742408839e-22
0.133053040976199,5.81073321206267e-22
0.133298408731392,5.86659302723319e-22
0.133544228977823,5.92275851919583e-22
0.133790502549947,5.97923134636802e-22
0.134037230283759,6.03601317603478e-22
0.134284413016793,6.09310568439489e-22
0.134532051588129,6.15051055660742e-22
0.134780146838395,6.20822948683842e-22
0.135028699609768,6.26626417830782e-22
0.135277710745979,6.32461634333664e-22
0.135527181092315,6.38328770339436e-22
0.13577711149562,6.44227998914657e-22
0.136027502804303,6.50159494050284e-22
0.136278355868334,6.56123430666485e-22
0.136529671539253,6.62119984617471e-22
0.13678145067017,6.68149332696359e-22
0.137033694115766,6.74211652640051e-22
0.137286402732302,6.80307123134145e-22
0.137539577377614,6.86435923817864e-22
0.137793218911124,6.92598235289017e-22
0.138047328193835,6.98794239108972e-22
0.13830190608834,7.0502411780767e-22
0.138556953458823,7.11288054888649e-22
0.138812471171061,7.17586234834104e-22
0.139068460092427,7.23918843109964e-22
0.139324921091895,7.30286066170996e-22
0.13958185504004,7.3668809146594e-22
0.139839262809044,7.43125107442662e-22
0.140097145272695,7.49597303553337e-22
0.140355503306395,7.56104870259654e-22
0.14061433778716,7.62647999038049e-22
0.140873649593621,7.69226882384965e-22
0.141133439606033,7.75841713822135e-22
0.14139370870627,7.82492687901893e-22
0.141654457777837,7.89180000212509e-22
0.141915687705864,7.95903847383556e-22
0.142177399377116,8.02664427091293e-22
0.142439593679992,8.09461938064084e-22
0.14270227150453,8.16296580087844e-22
0.142965433742409,8.231685540115e-22
0.143229081286953,8.30078061752494e-22
0.143493215033133,8.370253063023e-22
0.143757835877571,8.44010491731979e-22
0.14402294471854,8.51033823197756e-22
0.144288542455973,8.58095506946619e-22
0.14455462999146,8.65195750321956e-22
0.144821208228255,8.72334761769214e-22
0.145088278071278,8.79512750841585e-22
0.145355840427117,8.86729928205721e-22
0.145623896204032,8.93986505647477e-22
0.145892446311958,9.01282696077685e-22
0.146161491662507,9.08618713537947e-22
0.146431033168975,9.15994773206471e-22
0.146701071746339,9.23411091403918e-22
0.146971608311266,9.30867885599293e-22
0.147242643782111,9.38365374415856e-22
0.147514179078925,9.45903777637065e-22
0.147786215123454,9.53483316212546e-22
0.148058752839144,9.61104212264091e-22
0.148331793151145,9.68766689091693e-22
0.148605336986311,9.76470971179598e-22
0.148879385273208,9.84217284202398e-22
0.149153938942113,9.92005855031148e-22
0.149428998925018,9.99836911739508e-22
0.149704566155634,1.00771068360993e-21
0.149980641569396,1.01562740113985e-21
0.15025722610346,1.02358729604794e-21
0.150534320696714,1.03159060128037e-21
0.150811926289775,1.03963755101711e-21
0.151090043824996,1.04772838067825e-21
0.151368674246468,1.05586332693035e-21
0.151647818500022,1.06404262769285e-21
0.151927477533233,1.0722665221445e-21
0.152207652295425,1.08053525072976e-21
0.152488343737671,1.08884905516535e-21
0.1527695528128,1.0972081784467e-21
0.153051280475395,1.10561286485456e-21
0.153333527681803,1.11406335996149e-21
0.153616295390132,1.12255991063858e-21
0.153899584560258,1.13110276506198e-21
0.154183396153827,1.13969217271966e-21
0.154467731134258,1.14832838441806e-21
0.154752590466747,1.15701165228883e-21
0.15503797511827,1.16574222979564e-21
0.155323886057587,1.17452037174094e-21
0.155610324255242,1.18334633427279e-21
0.155897290683571,1.19222037489179e-21
0.156184786316703,1.21823228902499e-21
0.156472812130564,1.29557262009339e-21
0.156761369102877,1.42414916403387e-21
0.157050458213171,1.56956463056833e-21
0.15734008044278,1.71461533831944e-21
0.157630236774847,1.85930234275501e-21
0.15792092819433,2.00362669926605e-21
0.158212155688003,2.1475894631778e-21
0.158503920244457,2.29119168976076e-21
0.15879622285411,2.43443443424165e-21
0.159089064509205,2.57731875181455e-21
0.159382446203812,2.71984569765197e-21
0.15967636893384,2.86201632691599e-21
0.159970833697028,3.00383169476934e-21
0.160265841492961,3.14529285638666e-21
0.160561393323063,3.28640086696561e-21
0.160857490190608,3.42715678173815e-21
0.161154133100716,3.56756165598178e-21
0.161451323060366,3.70761654503082e-21
0.161749061078389,3.84732250428771e-21
0.162047348165479,3.98668058923433e-21
0.162346185334195,4.1256918554434e-21
0.16264557359896,4.26435735858985e-21
0.162945513976069,4.40267815446223e-21
