Frequency [Hz],PSD [m/s^2]^2/Hz
0.156252382622147,1.37773293079349e-12
0.312504765244294,3.62612296374201e-12
0.468757147866441,5.46260720082733e-12
0.625009530488588,7.45369694689921e-13
0.781261913110735,3.22735690355245e-13
0.937514295732882,1.20202156950823e-14
1.09376667835503,3.92874765206371e-13
1.25001906097718,1.67974190872855e-13
1.40627144359932,1.24431184721151e-12
1.56252382622147,1.14091751342357e-12
1.71877620884362,3.12481209874441e-13
1.87502859146576,7.60156087982753e-13
2.03128097408791,3.97835087765078e-13
2.18753335671006,1.24998363907759e-12
2.3437857393322,8.7321536481821e-13
2.50003812195435,1.05895798929832e-14
2.6562905045765,8.44438279297674e-13
2.81254288719865,1.04134328353311e-12
2.96879526982079,5.27945537059458e-13
3.12504765244294,7.4402504472692e-13
3.28130003506509,1.87298271406694e-12
3.43755241768723,8.3293506264695e-13
3.59380480030938,7.51371911017989e-13
3.75005718293153,2.35726120481824e-13
3.90630956555367,3.96317997163847e-12
4.06256194817582,1.08134272601984e-13
4.21881433079797,2.26396281729875e-12
4.37506671342011,1.03709155315349e-11
4.53131909604226,1.42495361780623e-11
4.68757147866441,4.4750665923525e-11
4.84382386128656,3.91222773744354e-11
5.0000762439087,4.68690668156841e-11
5.15632862653085,5.48767657885e-11
5.312581009153,1.96832325953245e-11
5.46883339177514,3.1826947015548e-13
5.62508577439729,7.09795700706675e-11
5.78133815701944,9.40161762644297e-11
5.93759053964158,2.04178682689302e-11
6.09384292226373,7.15679364790347e-12
6.25009530488588,5.5355207316096e-12
6.40634768750803,1.11564768929923e-11
6.56260007013017,2.4301825890539e-11
6.71885245275232,2.18787100268702e-11
6.87510483537447,1.96495668632221e-12
7.03135721799661,3.69470192114418e-11
7.18760960061876,4.64326227894142e-11
7.34386198324091,2.26126826457246e-12
7.50011436586305,3.53146115745357e-11
7.6563667484852,3.0909523279155e-11
7.81261913110735,1.50252673993236e-11
7.9688715137295,3.74385229913525e-11
8.12512389635164,6.31357913168339e-11
8.28137627897379,4.99445569520567e-11
8.43762866159594,5.21947045251881e-12
8.59388104421808,2.15629783363209e-11
8.75013342684023,3.03541966769795e-11
8.90638580946238,2.04601690840788e-10
9.06263819208452,3.45451042063699e-10
9.21889057470667,2.58814661146397e-10
9.37514295732882,1.75842883094859e-10
9.53139533995096,9.09136285433927e-11
9.68764772257311,3.63672173788864e-11
9.84390010519526,6.40299985251889e-12
10.0001524878174,2.58388088854576e-13
10.1564048704396,8.18346759491676e-13
10.3126572530617,8.31536996709055e-12
10.4689096356838,3.4050076471426e-11
10.625162018306,1.07719480232678e-10
10.7814144009281,1.67212565674923e-10
10.9376667835503,4.52808686202508e-11
11.0939191661724,6.29986208551981e-12
11.2501715487946,1.00435508034359e-10
11.4064239314167,1.20142935219532e-10
11.5626763140389,2.00437717626243e-11
11.718928696661,3.3863174685115e-11
11.8751810792832,1.71942391156045e-10
12.0314334619053,2.64134967414112e-10
12.1876858445275,2.03889901743827e-10
12.3439382271496,7.58917632335665e-11
12.5001906097718,9.62524271742355e-12
12.6564429923939,4.32296945676488e-11
12.8126953750161,1.29516051038233e-11
12.9689477576382,8.20425913704887e-11
13.1252001402603,1.32494752435459e-10
13.2814525228825,1.75953867563452e-11
13.4377049055046,2.87820885991726e-11
13.5939572881268,3.80781229201949e-11
