Frequency [Hz],PSD A^2/Hz
772.53776,1.42E-12
773.2048,8.79E-13
773.87185,1.13E-12
774.53889,9.57E-13
775.20594,7.53E-13
775.87298,9.48E-13
776.54003,1.36E-12
777.20707,1.12E-12
777.87412,5.67E-13
778.54116,9.38E-13
779.20821,1.39E-12
779.87525,1.22E-12
780.54229,8.28E-13
781.20934,1.40E-12
781.87638,9.76E-13
782.54343,1.27E-12
783.21047,1.06E-12
783.87752,1.45E-12
784.54456,1.97E-12
785.21161,1.12E-12
785.87865,9.55E-13
786.5457,1.31E-12
787.21274,8.57E-13
787.87979,1.05E-12
788.54683,8.98E-13
789.21388,8.62E-13
789.88092,1.00E-12
790.54797,1.10E-12
791.21501,1.21E-12
791.88205,9.08E-13
792.5491,1.63E-12
793.21614,1.43E-12
793.88319,1.10E-12
794.55023,1.02E-12
795.21728,1.51E-12
795.88432,1.12E-12
796.55137,1.21E-12
797.21841,1.21E-12
797.88546,8.65E-13
798.5525,1.42E-12
799.21955,8.37E-13
799.88659,6.14E-13
800.55364,1.50E-12
801.22068,6.12E-13
801.88773,1.03E-12
802.55477,1.26E-12
803.22181,1.20E-12
803.88886,1.49E-12
804.5559,1.83E-12
805.22295,5.94E-13
805.88999,1.16E-12
806.55704,1.84E-12
807.22408,1.12E-12
807.89113,8.31E-13
808.55817,1.01E-12
809.22522,6.63E-13
809.89226,1.00E-12
810.55931,9.68E-13
811.22635,9.24E-13
811.8934,1.55E-12
812.56044,1.00E-12
813.22748,1.06E-12
813.89453,1.32E-12
814.56157,8.58E-13
815.22862,9.33E-13
815.89566,6.71E-13
816.56271,9.07E-13
817.22975,5.17E-13
817.8968,8.16E-13
818.56384,9.70E-13
819.23089,1.84E-12
819.89793,7.08E-13
820.56498,1.62E-12
821.23202,1.12E-12
821.89907,1.38E-12
822.56611,7.29E-13
823.23316,9.17E-13
823.9002,1.07E-12
824.56724,5.13E-13
825.23429,1.64E-12
825.90133,1.11E-12
826.56838,8.91E-13
827.23542,1.34E-12
827.90247,7.56E-13
828.56951,1.13E-12
829.23656,1.07E-12
829.9036,1.08E-12
830.57065,1.55E-12
831.23769,1.01E-12
831.90474,1.11E-12
832.57178,2.07E-12
833.23883,1.25E-12
833.90587,1.18E-12
834.57292,1.47E-12
835.23996,1.10E-12
835.907,9.43E-13
836.57405,1.60E-12
837.24109,1.33E-12
837.90814,6.88E-13
838.57518,1.08E-12
839.24223,1.39E-12
839.90927,1.26E-12
840.57632,7.28E-13
841.24336,5.69E-13
841.91041,8.79E-13
842.57745,1.27E-12
843.2445,1.33E-12
843.91154,1.10E-12
844.57859,1.07E-12
845.24563,5.86E-13
845.91268,6.88E-13
846.57972,9.46E-13
847.24676,8.56E-13
847.91381,9.30E-13
848.58085,9.49E-13
849.2479,1.07E-12
849.91494,7.04E-13
850.58199,7.99E-13
851.24903,7.23E-13
851.91608,8.29E-13
852.58312,9.17E-13
853.25017,9.36E-13
853.91721,1.20E-12
854.58426,6.99E-13
855.2513,7.32E-13
855.91835,6.75E-13
856.58539,9.79E-13
857.25243,1.70E-12
857.91948,1.24E-12
858.58652,7.42E-13
859.25357,7.73E-13
859.92061,1.75E-12
860.58766,1.34E-12
861.2547,7.24E-13
861.92175,2.30E-12
862.58879,1.03E-12
863.25584,1.06E-12
863.92288,5.52E-13
864.58993,6.93E-13
865.25697,1.22E-12
865.92402,9.95E-13
866.59106,8.58E-13
867.25811,4.33E-13
867.92515,1.15E-12
868.59219,7.26E-13
869.25924,6.58E-13
869.92628,1.04E-12
870.59333,5.73E-13
871.26037,1.05E-12
871.92742,1.01E-12
872.59446,8.04E-13
873.26151,8.46E-13
873.92855,9.59E-13
874.5956,5.58E-13
875.26264,7.22E-13
875.92969,9.56E-13
876.59673,7.87E-13
877.26378,8.70E-13
877.93082,6.62E-13
878.59787,1.01E-12
879.26491,8.76E-13
879.93195,9.00E-13
880.599,1.11E-12
881.26604,1.53E-12
881.93309,7.45E-13
882.60013,1.40E-12
883.26718,1.10E-12
883.93422,6.20E-13
884.60127,1.97E-12
885.26831,6.66E-13
885.93536,7.68E-13
886.6024,7.63E-13
887.26945,1.12E-12
887.93649,1.60E-12
888.60354,1.05E-12
889.27058,8.60E-13
889.93763,1.26E-12
890.60467,9.95E-13
891.27171,1.17E-12
891.93876,1.73E-12
892.6058,9.66E-13
893.27285,9.07E-13
893.93989,1.14E-12
894.60694,7.44E-13
895.27398,1.13E-12
895.94103,9.36E-13
896.60807,9.64E-13
897.27512,7.90E-13
897.94216,8.89E-13
898.60921,1.47E-12
899.27625,2.31E-12
899.9433,1.77E-12
900.61034,8.36E-13
901.27738,6.25E-13
901.94443,5.77E-13
902.61147,1.79E-12
903.27852,7.74E-13
903.94556,1.21E-12
904.61261,4.88E-13
905.27965,6.73E-13
905.9467,1.15E-12
906.61374,7.10E-13
907.28079,7.52E-13
907.94783,1.11E-12
908.61488,1.71E-12
909.28192,1.04E-12
909.94897,1.06E-12
910.61601,1.15E-12
911.28306,1.20E-12
911.9501,1.17E-12
912.61714,1.07E-12
913.28419,1.16E-12
913.95123,1.75E-12
914.61828,1.21E-12
915.28532,1.17E-12
915.95237,6.31E-13
916.61941,1.21E-12
917.28646,1.04E-12
917.9535,1.04E-12
918.62055,1.18E-12
919.28759,9.54E-13
919.95464,9.92E-13
920.62168,9.04E-13
921.28873,1.08E-12
921.95577,1.24E-12
922.62282,8.22E-13
923.28986,1.40E-12
923.9569,9.30E-13
924.62395,6.08E-13
925.29099,9.57E-13
925.95804,1.12E-12
926.62508,1.32E-12
927.29213,1.46E-12
927.95917,1.14E-12
928.62622,1.35E-12
929.29326,8.83E-13
929.96031,1.22E-12
930.62735,1.12E-12
931.2944,7.23E-13
931.96144,8.83E-13
932.62849,1.12E-12
933.29553,6.93E-13
933.96258,4.94E-13
934.62962,8.15E-13
935.29666,1.17E-12
935.96371,9.19E-13
936.63075,8.73E-13
937.2978,1.40E-12
937.96484,1.18E-12
938.63189,1.16E-12
939.29893,1.13E-12
939.96598,1.12E-12
940.63302,8.70E-13
941.30007,8.66E-13
941.96711,1.23E-12
942.63416,7.16E-13
943.3012,8.67E-13
943.96825,1.13E-12
944.63529,1.30E-12
945.30233,9.52E-13
945.96938,1.11E-12
946.63642,4.32E-13
947.30347,1.28E-12
947.97051,1.48E-12
948.63756,8.37E-13
949.3046,1.53E-12
949.97165,9.71E-13
950.63869,1.15E-12
951.30574,1.45E-12
951.97278,8.67E-13
952.63983,1.04E-12
953.30687,5.24E-13
953.97392,6.76E-13
954.64096,6.31E-13
955.30801,9.34E-13
955.97505,1.14E-12
956.64209,1.03E-12
957.30914,8.77E-13
957.97618,1.47E-12
958.64323,1.36E-12
959.31027,9.90E-13
959.97732,1.07E-12
960.64436,8.92E-13
961.31141,1.15E-12
961.97845,5.64E-13
962.6455,7.64E-13
963.31254,1.10E-12
963.97959,1.74E-12
964.64663,1.08E-12
965.31368,1.17E-12
965.98072,7.30E-13
966.64777,1.21E-12
967.31481,1.22E-12
967.98185,1.77E-12
968.6489,9.70E-13
969.31594,7.59E-13
969.98299,7.00E-13
970.65003,1.47E-12
971.31708,8.65E-13
971.98412,6.69E-13
972.65117,6.80E-13
973.31821,1.11E-12
973.98526,7.72E-13
974.6523,6.36E-13
975.31935,1.48E-12
975.98639,1.01E-12
976.65344,1.11E-12
977.32048,6.42E-13
977.98753,1.18E-12
978.65457,6.13E-13
979.32161,1.05E-12
979.98866,9.68E-13
980.6557,8.22E-13
981.32275,6.60E-13
981.98979,5.21E-13
982.65684,1.08E-12
983.32388,8.97E-13
983.99093,9.64E-13
984.65797,9.05E-13
985.32502,1.86E-12
985.99206,1.36E-12
986.65911,1.35E-12
987.32615,9.46E-13
987.9932,1.54E-12
988.66024,1.18E-12
989.32728,9.45E-13
989.99433,6.94E-13
990.66137,1.32E-12
991.32842,1.13E-12
991.99546,1.06E-12
992.66251,1.10E-12
993.32955,6.33E-13
993.9966,6.74E-13
994.66364,1.29E-12
995.33069,6.94E-13
995.99773,1.81E-12
996.66478,7.45E-13
997.33182,1.08E-12
997.99887,1.49E-12
998.66591,9.64E-13
999.33296,1.49E-12
1000,1.07E-12
