Frequency [Hz],PSD A^2/Hz
176.1998,1.02E-12
176.86684,1.66E-12
177.53389,1.06E-12
178.20093,8.89E-13
178.86798,6.49E-13
179.53502,7.18E-13
180.20207,1.06E-12
180.86911,1.23E-12
181.53616,9.07E-13
182.2032,1.12E-12
182.87025,1.42E-12
183.53729,1.10E-12
184.20434,6.60E-13
184.87138,8.27E-13
185.53843,1.20E-12
186.20547,1.34E-12
186.87252,9.81E-13
187.53956,6.55E-13
188.2066,1.12E-12
188.87365,1.10E-12
189.54069,1.39E-12
190.20774,6.59E-13
190.87478,7.31E-13
191.54183,8.93E-13
192.20887,1.64E-12
192.87592,1.33E-12
193.54296,1.05E-12
194.21001,1.15E-12
194.87705,9.17E-13
195.5441,1.43E-12
196.21114,5.77E-13
196.87819,1.11E-12
197.54523,1.61E-12
198.21227,1.06E-12
198.87932,1.14E-12
199.54636,7.77E-13
200.21341,9.45E-13
200.88045,1.95E-12
201.5475,9.97E-13
202.21454,9.14E-13
202.88159,6.75E-13
203.54863,9.93E-13
204.21568,9.18E-13
204.88272,1.21E-12
205.54977,7.95E-13
206.21681,8.58E-13
206.88386,1.19E-12
207.5509,1.13E-12
208.21795,1.03E-12
208.88499,1.16E-12
209.55203,9.72E-13
210.21908,1.09E-12
210.88612,7.75E-13
211.55317,7.05E-13
212.22021,7.34E-13
212.88726,1.17E-12
213.5543,6.36E-13
214.22135,1.63E-12
214.88839,1.93E-12
215.55544,1.19E-12
216.22248,8.56E-13
216.88953,9.74E-13
217.55657,1.38E-12
218.22362,1.80E-12
218.89066,1.34E-12
219.55771,1.08E-12
220.22475,9.95E-13
220.89179,8.06E-13
221.55884,6.84E-13
222.22588,6.68E-13
222.89293,5.70E-13
223.55997,1.03E-12
224.22702,5.81E-13
224.89406,1.30E-12
225.56111,1.06E-12
226.22815,1.07E-12
226.8952,1.11E-12
227.56224,8.61E-13
228.22929,1.33E-12
228.89633,1.95E-12
229.56338,1.10E-12
230.23042,6.19E-13
230.89746,5.75E-13
231.56451,1.12E-12
232.23155,1.21E-12
232.8986,1.06E-12
233.56564,1.13E-12
234.23269,8.02E-13
234.89973,1.27E-12
235.56678,1.48E-12
236.23382,7.21E-13
236.90087,1.15E-12
237.56791,7.54E-13
238.23496,1.15E-12
238.902,1.11E-12
239.56905,1.70E-12
240.23609,9.21E-13
240.90314,7.18E-13
241.57018,1.02E-12
242.23722,8.71E-13
242.90427,1.02E-12
243.57131,7.95E-13
244.23836,1.23E-12
244.9054,7.55E-13
245.57245,1.25E-12
246.23949,8.46E-13
246.90654,8.85E-13
247.57358,2.31E-12
248.24063,1.07E-12
248.90767,1.56E-12
249.57472,9.40E-13
250.24176,1.19E-12
250.90881,1.06E-12
251.57585,7.84E-13
252.2429,1.11E-12
252.90994,9.72E-13
253.57698,1.58E-12
254.24403,6.16E-13
254.91107,1.27E-12
255.57812,1.37E-12
256.24516,1.48E-12
256.91221,1.14E-12
257.57925,1.47E-12
258.2463,1.57E-12
258.91334,1.55E-12
259.58039,1.45E-12
260.24743,8.77E-13
260.91448,1.26E-12
261.58152,9.85E-13
262.24857,9.97E-13
262.91561,8.46E-13
263.58266,7.66E-13
264.2497,1.72E-12
264.91674,9.41E-13
265.58379,7.40E-13
266.25083,2.52E-12
266.91788,9.89E-13
267.58492,1.16E-12
268.25197,1.31E-12
268.91901,1.29E-12
269.58606,1.07E-12
270.2531,1.00E-12
270.92015,1.18E-12
271.58719,1.07E-12
272.25424,7.86E-13
272.92128,1.10E-12
273.58833,1.08E-12
274.25537,1.08E-12
274.92241,1.11E-12
275.58946,7.32E-13
276.2565,1.05E-12
276.92355,8.93E-13
277.59059,1.29E-12
278.25764,7.84E-13
278.92468,7.32E-13
279.59173,1.05E-12
280.25877,1.16E-12
280.92582,7.95E-13
281.59286,1.49E-12
282.25991,7.90E-13
282.92695,1.17E-12
283.594,1.59E-12
284.26104,1.04E-12
284.92809,7.84E-13
285.59513,1.33E-12
286.26217,7.74E-13
286.92922,5.65E-13
287.59626,1.31E-12
288.26331,1.07E-12
288.93035,1.36E-12
289.5974,1.52E-12
290.26444,7.71E-13
290.93149,1.04E-12
291.59853,1.39E-12
292.26558,1.71E-12
292.93262,7.63E-13
293.59967,8.08E-13
294.26671,1.08E-12
294.93376,1.38E-12
295.6008,1.28E-12
296.26785,2.80E-12
296.93489,1.03E-12
297.60193,1.52E-12
298.26898,9.53E-13
298.93602,1.33E-12
299.60307,8.69E-13
300.27011,8.03E-13
300.93716,1.30E-12
301.6042,1.32E-12
302.27125,6.78E-13
302.93829,8.37E-13
303.60534,8.66E-13
304.27238,1.03E-12
304.93943,1.53E-12
305.60647,9.81E-13
306.27352,8.56E-13
306.94056,1.47E-12
307.60761,1.30E-12
308.27465,1.63E-12
308.94169,1.62E-12
309.60874,1.17E-12
310.27578,8.19E-13
310.94283,9.19E-13
311.60987,1.34E-12
312.27692,2.50E-12
312.94396,1.11E-12
313.61101,1.34E-12
314.27805,1.04E-12
314.9451,1.44E-12
315.61214,1.20E-12
316.27919,7.09E-13
316.94623,1.60E-12
317.61328,1.62E-12
318.28032,1.75E-12
318.94736,1.03E-12
319.61441,1.86E-12
320.28145,1.18E-12
320.9485,9.27E-13
321.61554,1.03E-12
322.28259,1.39E-12
322.94963,1.02E-12
323.61668,1.19E-12
324.28372,6.03E-13
324.95077,1.57E-12
325.61781,1.34E-12
326.28486,9.96E-13
326.9519,9.92E-13
