Frequency [Hz],PSD [m/s^2]^2/Hz
0.156252382622147,2.4799255585466e-12
0.312504765244294,4.56812041928593e-13
0.468757147866441,2.86490217685369e-13
0.625009530488588,9.27625911972865e-13
0.781261913110735,7.23090478847164e-12
0.937514295732882,5.19651508294108e-12
1.09376667835503,7.62167422276169e-12
1.25001906097718,1.34451652074088e-11
1.40627144359932,6.59844922961215e-12
1.56252382622147,3.22054430633247e-12
1.71877620884362,2.99269082241097e-12
1.87502859146576,2.5620136379729e-12
2.03128097408791,2.14457768113752e-12
2.18753335671006,1.04442492487548e-13
2.3437857393322,3.24604054393734e-12
2.50003812195435,3.15695146439081e-12
2.6562905045765,3.8684520395594e-12
2.81254288719865,5.87907591060231e-12
2.96879526982079,4.66588156225097e-12
3.12504765244294,2.79296938653159e-13
3.28130003506509,6.53905294425222e-13
3.43755241768723,2.97620871329235e-12
3.59380480030938,1.93205349712498e-12
3.75005718293153,5.06836056755753e-13
3.90630956555367,4.31281260404402e-13
4.06256194817582,1.45780335383964e-12
4.21881433079797,1.61343796982513e-12
4.37506671342011,8.73547848083309e-12
4.53131909604226,3.94765840418052e-11
4.68757147866441,6.50522778699238e-11
4.84382386128656,3.76427517447906e-11
5.0000762439087,9.12100722348805e-12
5.15632862653085,3.15192260312533e-11
5.312581009153,7.72930309877392e-11
5.46883339177514,3.66093412673209e-11
5.62508577439729,1.55660836263233e-11
5.78133815701944,6.61234657678868e-11
5.93759053964158,3.21017303658515e-11
6.09384292226373,5.30304962135605e-11
6.25009530488588,1.42623030971053e-11
6.40634768750803,4.57939175924817e-11
6.56260007013017,5.4472563207196e-12
6.71885245275232,4.4083840316855e-11
6.87510483537447,2.45932774184966e-11
7.03135721799661,2.1225380791446e-10
7.18760960061876,2.01164168121578e-10
7.34386198324091,3.54943753714807e-11
7.50011436586305,7.15837025012454e-12
7.6563667484852,2.77877847366672e-11
7.81261913110735,1.42461453658232e-12
7.9688715137295,7.60698875853462e-12
8.12512389635164,2.74960191336117e-11
8.28137627897379,3.94047839890436e-11
8.43762866159594,3.28759143095242e-11
8.59388104421808,4.32201501191303e-11
8.75013342684023,6.69115734687008e-11
8.90638580946238,1.00807730792616e-10
9.06263819208452,2.17323635120584e-10
9.21889057470667,7.0768454539668e-11
9.37514295732882,4.93714934197547e-11
9.53139533995096,2.00451649460657e-11
9.68764772257311,2.24281561052201e-11
9.84390010519526,1.90420140751438e-11
10.0001524878174,4.60735177475534e-11
10.1564048704396,1.67829496822418e-11
10.3126572530617,4.22551012784128e-11
10.4689096356838,1.82884826004919e-10
10.625162018306,1.45270760542089e-10
10.7814144009281,1.91703560124313e-10
10.9376667835503,2.30079555633416e-10
11.0939191661724,1.20418779415214e-10
11.2501715487946,1.62268400861667e-10
11.4064239314167,9.10735108238511e-11
11.5626763140389,1.87117592092781e-10
11.718928696661,1.66705599125554e-10
11.8751810792832,4.28965274090021e-10
12.0314334619053,3.14100171725477e-10
12.1876858445275,4.8787051917571e-10
12.3439382271496,1.95477708293765e-10
12.5001906097718,1.3962574859247e-11
12.6564429923939,7.53560365903234e-12
12.8126953750161,1.08023197083413e-11
12.9689477576382,4.351456688719e-10
13.1252001402603,8.06697052054882e-10
13.2814525228825,2.30171169439937e-10
13.4377049055046,2.79484401612638e-11
13.5939572881268,2.92094351502487e-10
13.7502096707489,2.35801708854261e-10
13.9064620533711,1.04841468737602e-10
14.0627144359932,2.28550960540905e-10
14.2189668186154,5.21601402835327e-11
14.3752192012375,4.15747855840883e-11
14.5314715838597,4.99184370481257e-11
14.6877239664818,2.92631958955925e-11
14.843976349104,2.24399497227879e-11
15.0002287317261,6.29172908026009e-11
15.1564811143483,3.40090609655003e-11
15.3127334969704,1.28571312721976e-11
15.4689858795925,7.9978148058232e-11
15.6252382622147,2.05041301038572e-11
15.7814906448368,8.81726668116535e-12
15.937743027459,3.05934951339614e-11
16.0939954100811,2.92411502067139e-11
16.2502477927033,2.27937733933852e-11
16.4065001753254,1.07735478391159e-10
16.5627525579476,1.41324527536715e-10
16.7190049405697,1.40232717401855e-10
16.8752573231919,1.59230990839197e-10
17.031509705814,4.56523445910995e-11
17.1877620884362,1.64367793431871e-12
17.3440144710583,1.53445796480553e-10
17.5002668536805,3.46152525616095e-10
17.6565192363026,2.32278828826967e-10
17.8127716189248,2.53870974733077e-10
17.9690240015469,2.01600932968248e-10
18.125276384169,7.81755683580299e-11
18.2815287667912,2.44741813487322e-11
18.4377811494133,3.67079674920775e-11
18.5940335320355,2.32184326771935e-11
18.7502859146576,1.23183848381577e-10
18.9065382972798,1.64887740876688e-10
19.0627906799019,1.73111408871779e-10
19.2190430625241,4.30939566895916e-10
19.3752954451462,1.1130117438274e-10
19.5315478277684,4.74243223321104e-11
19.6878002103905,1.02297942027941e-10
19.8440525930127,9.88129283801313e-12
20.0003049756348,6.20672117847257e-11
20.156557358257,1.28158500834851e-10
20.3128097408791,2.37357679353173e-11
20.4690621235012,4.80863804519194e-11
20.6253145061234,4.14936956412842e-11
20.7815668887455,2.01986924400539e-11
20.9378192713677,7.01053607738421e-12
21.0940716539898,3.74070086152372e-13
21.250324036612,1.06849111396878e-10
21.4065764192341,1.21890492662069e-10
21.5628288018563,3.57011410994854e-11
21.7190811844784,1.01115038813051e-11
21.8753335671006,1.2809557750927e-11
22.0315859497227,1.4698770371122e-12
22.1878383323449,6.94235584336693e-12
22.344090714967,4.85900274362963e-12
22.5003430975892,2.90377701967488e-11
22.6565954802113,3.72348153276847e-11
22.8128478628335,3.42607434264151e-11
22.9691002454556,1.06959028273303e-11
23.1253526280778,9.84890127007175e-13
23.2816050106999,4.77054436598691e-12
23.437857393322,4.11193507069038e-10
23.5941097759442,1.3607601558902e-09
23.7503621585663,4.25334246828867e-10
23.9066145411885,4.54388363600413e-11
24.0628669238106,3.71296967183043e-11
24.2191193064328,3.48310422448629e-12
24.3753716890549,3.13808545740619e-10
24.5316240716771,5.16901872745721e-10
24.6878764542992,1.07594711148632e-10
24.8441288369214,4.39980547932145e-11
25.0003812195435,8.83945802362107e-12
25.1566336021657,1.0357732722655e-11
25.3128859847878,2.80665891989272e-11
25.46913836741,1.25218601306663e-10
25.6253907500321,2.05093771814058e-10
25.7816431326542,6.29121255031655e-11
25.9378955152764,1.11254780002685e-10
26.0941478978985,3.50651055411037e-11
26.2504002805207,7.07339546468017e-12
26.4066526631428,1.10121366332188e-11
26.562905045765,6.37906001719997e-12
26.7191574283871,1.05328192411008e-11
26.8754098110093,5.82388802002123e-12
27.0316621936314,9.93062792116942e-12
27.1879145762536,3.25814962773237e-11
27.3441669588757,1.20459266886513e-10
27.5004193414979,1.21349136283059e-10
27.65667172412,9.07593027684442e-11
27.8129241067422,4.36658126929036e-11
27.9691764893643,3.89300385628803e-11
28.1254288719865,7.98390643136107e-11
28.2816812546086,5.20025137307845e-11
28.4379336372307,7.05792832074512e-11
28.5941860198529,2.15424156843899e-11
28.750438402475,6.45289578903316e-12
28.9066907850972,3.68092149228056e-11
29.0629431677193,8.2019130184485e-11
29.2191955503415,1.90908699655671e-10
29.3754479329636,2.26869794399496e-10
29.5317003155858,2.80119910013629e-11
29.6879526982079,1.93633920874757e-11
29.8442050808301,2.03810602748683e-11
30.0004574634522,2.57589928736309e-11
30.1567098460744,2.17866148832648e-11
30.3129622286965,2.03735014339355e-11
30.4692146113187,4.62290938930597e-11
30.6254669939408,1.05324350000805e-10
30.781719376563,5.07251482648687e-11
30.9379717591851,2.83704465780711e-11
31.0942241418072,2.97353205279794e-11
31.2504765244294,1.58686287086914e-11
31.4067289070515,9.05436154273796e-12
31.5629812896737,2.45951344990331e-11
31.7192336722958,6.12734047806673e-11
31.875486054918,3.55317818376656e-11
32.0317384375401,3.0666795129908e-11
32.1879908201623,8.52240337756459e-11
32.3442432027844,6.57752126811889e-11
32.5004955854066,2.68494511034421e-11
32.6567479680287,3.45843154143462e-12
32.8130003506509,1.8390600349313e-11
32.969252733273,1.55056916554092e-10
33.1255051158952,4.80907207118843e-11
33.2817574985173,9.77493028003244e-11
33.4380098811395,2.1664405184898e-10
33.5942622637616,1.03239425042971e-11
33.7505146463837,4.47255272892408e-10
33.9067670290059,2.2108456918188e-10
34.063019411628,6.4064136081248e-10
