Material Name,OFHC Cu (RRR-50)
Elastic modulus (N/mm2),115000
Poisson's ratio,0.31
Microhardness (N/mm2),1218.841488
Temp (K),k (W/m-K)
300,392.3682449
293,392.9989981
280,393.6485126
273,394.3193009
260,395.0146855
250,395.7391112
240,396.4985903
230,397.301343
220,398.1587287
210,399.0866155
200,400.1074229
190,401.2532095
180,402.5704202
170,404.1273114
160,406.0258033
150,408.4208196
140,411.5526406
130,415.8025536
120,421.7915925
110,430.5618414
100,443.9218335
90,465.1291804
80,500.2786778
70,561.1117967
60,670.0222773
50,863.5590605
40,1163.360601
30,1444.432834
20,1367.854811
10,778.1487713
4,320.38
